customer_id,company_name,region,subscription_tier,signup_date,is_active,monthly_revenue
CUST-00035,Rodriguez-Graham,US,Growth,2025-04-30,True,499
CUST-00036,Smith-Bowen,India,Starter,2025-07-09,True,99
CUST-00037,"Baker, Mason and White",India,Enterprise,2025-12-09,True,2499
CUST-00038,Harrell LLC,US,Growth,2026-05-23,True,499
CUST-00039,"Romero, Gonzalez and Brooks",SEA,Starter,2025-07-19,False,99
CUST-00040,Ryan PLC,India,Growth,2025-03-13,True,499
CUST-00041,George Group,SEA,Starter,2026-06-08,True,99
CUST-00042,Rodriguez LLC,India,Growth,2024-09-02,False,499
CUST-00043,Allen-Allen,US,Starter,2025-03-26,True,99
CUST-00044,"Arroyo, Miller and Tucker",India,Growth,2025-12-04,True,499
CUST-00045,Spence PLC,US,Starter,2024-08-03,True,99
CUST-00046,Anderson Group,India,Starter,2025-05-18,True,99
CUST-00047,"Martin, Rose and Obrien",SEA,Enterprise,2026-05-29,True,2499
CUST-00048,Hickman Ltd,SEA,Growth,2026-05-12,True,499
CUST-00049,"Harris, Collins and Carney",India,Starter,2025-04-23,True,99
CUST-00050,"Brooks, Lam and Hayes",US,Starter,2025-08-02,True,99
CUST-00051,Walker LLC,US,Starter,2026-06-20,True,99
CUST-00052,Chapman and Sons,US,Growth,2025-07-23,True,499
CUST-00053,"Robinson, Jones and Welch",US,Growth,2024-08-17,True,499
CUST-00054,Jones Inc,SEA,Growth,2025-03-20,True,499
CUST-00055,Jones-Young,US,Growth,2025-03-29,False,499
CUST-00056,"Washington, Ryan and Cummings",India,Growth,2026-01-21,True,499
CUST-00057,"Johnston, Sanchez and Kennedy",India,Starter,2025-06-22,True,99
CUST-00058,Lee-Davis,India,Starter,2024-09-17,True,99
CUST-00059,Gomez-Jenkins,India,Growth,2025-12-13,True,499
CUST-00060,"Brown, Valdez and Lucas",India,Enterprise,2025-03-03,True,2499
CUST-00061,Powell LLC,India,Growth,2025-04-03,True,499
CUST-00062,Wright and Sons,US,Growth,2026-04-04,True,499
CUST-00063,"West, Henderson and Ramirez",India,Growth,2025-05-13,True,499
CUST-00064,Baxter Inc,India,Enterprise,2025-12-02,True,2499
CUST-00065,Morton-Chase,SEA,Starter,2025-05-13,True,99
CUST-00066,Williams PLC,India,Starter,2024-08-25,True,99
CUST-00067,Novak and Sons,US,Enterprise,2026-04-22,True,2499
CUST-00068,Russell Group,India,Enterprise,2025-05-17,False,2499
CUST-00069,Hancock Inc,US,Starter,2025-05-12,True,99
CUST-00070,Gray Group,US,Starter,2025-09-01,False,99
CUST-00071,House-Glover,India,Starter,2025-09-19,True,99
CUST-00072,Henderson-Bernard,India,Starter,2026-05-17,True,99
CUST-00073,"Stanley, Tucker and Lee",US,Enterprise,2025-02-13,True,2499
CUST-00074,Novak PLC,US,Starter,2024-07-27,True,99
CUST-00075,"Daniels, Adkins and Brown",US,Enterprise,2025-09-06,True,2499
CUST-00076,"Woods, Calhoun and Schmidt",US,Starter,2024-12-27,True,99
CUST-00077,Yu Inc,India,Growth,2025-05-16,True,499
CUST-00078,Jones Inc,India,Starter,2026-06-19,True,99
CUST-00079,"Hensley, Powell and David",India,Growth,2026-01-24,True,499
CUST-00080,"Sanchez, Wheeler and Harvey",US,Growth,2024-12-26,True,499
CUST-00081,Sandoval-Cunningham,US,Growth,2025-04-21,True,499
CUST-00082,Donovan-Harris,India,Starter,2025-01-04,True,99
CUST-00083,"Edwards, Baker and Anderson",India,Starter,2025-05-06,True,99
CUST-00084,"Evans, Stewart and Walton",India,Starter,2025-11-02,False,99
CUST-00085,Smith PLC,India,Starter,2024-07-04,True,99
CUST-00086,"Ferrell, Jones and Lewis",US,Growth,2025-03-16,True,499
CUST-00087,Anderson-Bailey,US,Growth,2025-09-08,True,499
CUST-00088,Suarez LLC,US,Growth,2026-05-10,True,499
CUST-00089,Moore-Bass,SEA,Growth,2025-04-07,True,499
CUST-00090,"Turner, Riggs and Roman",India,Starter,2025-02-22,True,99
CUST-00091,"Smith, Montoya and Evans",US,Starter,2024-09-24,True,99
CUST-00092,"Garcia, Humphrey and Baker",US,Starter,2025-12-16,True,99
CUST-00093,Newton and Sons,SEA,Growth,2025-05-11,True,499
CUST-00094,Campbell-Clark,US,Growth,2024-09-22,True,499
CUST-00095,Harris-Walters,SEA,Starter,2026-04-25,True,99
CUST-00096,Wagner-King,SEA,Starter,2026-05-29,True,99
CUST-00097,Davis Group,SEA,Enterprise,2024-08-18,False,2499
CUST-00098,Williams-Cook,India,Growth,2024-12-11,True,499
CUST-00099,Walsh LLC,India,Growth,2024-12-01,True,499
CUST-00100,Figueroa PLC,India,Starter,2025-09-22,True,99
CUST-00101,"Patterson, Smith and Jones",US,Starter,2025-03-10,True,99
CUST-00102,"Mckee, Gardner and Davenport",India,Enterprise,2025-05-12,True,2499
CUST-00103,"Tran, Jordan and Williams",SEA,Growth,2024-11-16,True,499
CUST-00104,Nolan-Flynn,US,Starter,2024-11-16,True,99
CUST-00105,Nolan and Sons,India,Growth,2024-10-04,True,499
CUST-00106,"Wright, Garcia and Deleon",SEA,Growth,2025-01-12,True,499
CUST-00107,Dickson-Brady,US,Starter,2026-05-28,True,99
CUST-00108,Hancock and Sons,India,Starter,2025-04-08,True,99
CUST-00109,Johnson-Doyle,India,Starter,2026-06-17,True,99
CUST-00110,Patton-Jenkins,India,Starter,2024-08-20,True,99
CUST-00111,"Shields, Cochran and Adams",India,Growth,2025-07-25,True,499
CUST-00112,"Rodriguez, Brennan and Garrison",US,Starter,2024-10-17,True,99
CUST-00113,Gonzalez Group,US,Growth,2025-04-09,False,499
CUST-00114,Torres-Pope,US,Enterprise,2025-04-26,True,2499
CUST-00115,Walker Ltd,US,Starter,2025-10-08,True,99
CUST-00116,Ross LLC,US,Starter,2025-05-03,True,99
CUST-00117,Rasmussen LLC,India,Growth,2024-08-15,True,499
CUST-00118,May-Ross,US,Growth,2025-09-27,False,499
CUST-00119,"Rivera, Johnson and Wiley",SEA,Growth,2024-10-01,True,499
CUST-00120,White-Estes,US,Starter,2024-08-26,True,99
CUST-00121,Johnson-Carlson,US,Starter,2024-10-14,True,99
CUST-00122,Chandler-Edwards,India,Growth,2025-11-04,True,499
CUST-00123,"Joyce, Wilson and Lam",India,Enterprise,2025-12-26,True,2499
CUST-00124,Scott Ltd,India,Starter,2025-05-23,True,99
CUST-00125,Smith-Frost,SEA,Enterprise,2026-05-26,True,2499
CUST-00126,"Mcdaniel, Bentley and Mclaughlin",US,Starter,2025-09-07,True,99
CUST-00127,Diaz Inc,US,Enterprise,2025-06-09,True,2499
CUST-00128,"Mccall, Hanson and Alvarado",India,Growth,2026-04-11,True,499
CUST-00129,Cortez LLC,SEA,Starter,2026-01-19,False,99
CUST-00130,"Parker, Ortiz and Powell",SEA,Growth,2026-05-17,True,499
CUST-00131,Spencer-Lee,India,Starter,2025-02-21,False,99
CUST-00132,"Bentley, Byrd and Orr",India,Starter,2025-08-31,True,99
CUST-00133,"Carroll, Sullivan and Bass",India,Starter,2026-04-07,True,99
CUST-00134,Mitchell-Jordan,US,Starter,2026-02-04,True,99
CUST-00135,"Lawson, Morris and Ramos",India,Starter,2025-12-19,True,99
CUST-00136,"Lewis, Kennedy and Santana",SEA,Growth,2026-05-06,True,499
CUST-00137,"Jackson, Miller and Robertson",US,Growth,2025-04-21,True,499
CUST-00138,"Harvey, Davis and Crane",India,Starter,2025-09-17,True,99
CUST-00139,Chambers and Sons,US,Enterprise,2025-07-06,True,2499
CUST-00140,Hernandez Inc,US,Growth,2025-08-27,True,499
CUST-00141,Riggs PLC,India,Enterprise,2025-02-15,False,2499
CUST-00142,Gibson Ltd,SEA,Growth,2025-08-06,True,499
CUST-00143,"Lee, Horton and Snyder",India,Starter,2025-07-03,True,99
CUST-00144,Hernandez Ltd,India,Starter,2025-09-10,True,99
CUST-00145,Stafford Inc,India,Growth,2026-01-30,True,499
CUST-00146,Robinson-Brock,US,Starter,2026-03-28,True,99
CUST-00147,"Holmes, Williams and Wright",SEA,Starter,2025-07-23,True,99
CUST-00148,Bryant Group,India,Starter,2025-10-24,True,99
CUST-00149,"Schmidt, Hansen and Stewart",India,Starter,2025-10-08,True,99
CUST-00150,Salazar-Ball,US,Starter,2025-05-07,True,99
CUST-00151,"Simmons, Meadows and Griffin",India,Starter,2026-01-19,True,99
CUST-00152,Manning Group,India,Starter,2024-11-24,True,99
CUST-00153,Green-Wright,SEA,Growth,2024-08-29,True,499
CUST-00154,"Ramirez, Strickland and Washington",US,Growth,2025-09-11,True,499
CUST-00155,Hill Inc,India,Starter,2025-05-19,True,99
CUST-00156,"Mitchell, Nelson and Flores",US,Starter,2026-06-16,True,99
CUST-00157,"Miller, Hernandez and Reyes",US,Starter,2024-12-15,True,99
CUST-00158,Mccarthy Inc,India,Starter,2024-08-08,False,99
CUST-00159,Russell-Daniels,US,Starter,2025-03-20,True,99
CUST-00160,Brown-Wall,India,Starter,2024-10-27,False,99
CUST-00161,Stein-Silva,US,Growth,2025-07-13,False,499
CUST-00162,"Smith, Gilmore and Johnston",US,Growth,2025-10-23,True,499
CUST-00163,Smith-Bell,SEA,Starter,2024-08-02,True,99
CUST-00164,Castaneda-Ashley,India,Starter,2025-01-11,True,99
CUST-00165,Medina-Navarro,US,Growth,2025-12-26,True,499
CUST-00166,"Hurst, Freeman and Nelson",India,Enterprise,2024-11-30,False,2499
CUST-00167,Johnson-Rogers,India,Growth,2025-04-21,True,499
CUST-00168,"Yates, Ramsey and Pittman",India,Growth,2025-09-10,False,499
CUST-00169,Hooper PLC,SEA,Starter,2026-05-04,True,99
CUST-00170,Meadows PLC,US,Starter,2026-03-31,True,99
CUST-00171,"Alvarado, Miller and Patterson",India,Enterprise,2024-11-13,True,2499
CUST-00172,White-Green,SEA,Starter,2024-11-11,True,99
CUST-00173,Lewis-Murphy,India,Enterprise,2026-02-05,True,2499
CUST-00174,Ramirez-Bean,US,Growth,2025-03-20,True,499
CUST-00175,King-Miller,India,Growth,2026-03-18,False,499
CUST-00176,Curry Inc,US,Starter,2025-09-04,True,99
CUST-00177,Walker-Jones,India,Growth,2026-01-13,False,499
CUST-00178,"Williams, Johnson and Wright",US,Starter,2024-08-24,False,99
CUST-00179,Howell and Sons,India,Starter,2025-05-17,True,99
CUST-00180,Wells Inc,India,Starter,2025-01-04,True,99
CUST-00181,"Gould, Marshall and Scott",India,Enterprise,2024-10-05,True,2499
CUST-00182,Jackson-Lawson,US,Growth,2024-12-23,True,499
CUST-00183,"Higgins, Strickland and Martin",US,Starter,2024-06-27,True,99
CUST-00184,Rodriguez-Johnson,India,Starter,2024-09-25,True,99
CUST-00185,Johnston-Odonnell,US,Growth,2024-10-06,False,499
CUST-00186,Sanders-Espinoza,US,Growth,2025-07-03,True,499
CUST-00187,Vargas Ltd,SEA,Growth,2025-01-28,True,499
CUST-00188,Garcia LLC,SEA,Growth,2025-05-04,True,499
CUST-00189,"Burke, Martinez and Riggs",India,Starter,2025-09-22,True,99
CUST-00190,Reed Group,India,Growth,2026-06-06,True,499
CUST-00191,"Wood, Hunter and Peterson",US,Starter,2026-01-03,True,99
CUST-00192,Short-Garcia,US,Enterprise,2026-02-09,True,2499
CUST-00193,Reid-Poole,US,Growth,2024-07-01,True,499
CUST-00194,"Hernandez, Thompson and Boyd",India,Starter,2024-09-17,False,99
CUST-00195,"Nelson, Morton and Medina",India,Starter,2025-07-07,True,99
CUST-00196,Marshall-Petersen,US,Growth,2025-04-23,True,499
CUST-00197,"Adams, Christian and Rivas",US,Starter,2024-11-29,True,99
CUST-00198,Ramirez Group,US,Starter,2024-09-15,True,99
CUST-00199,Christensen PLC,US,Growth,2026-01-29,False,499
CUST-00200,"Barnett, Rogers and Snyder",US,Starter,2025-10-07,True,99
CUST-00201,White-Lewis,India,Growth,2024-09-02,True,499
CUST-00202,Peterson-Beard,India,Starter,2025-09-10,False,99
CUST-00203,"Beard, Peters and Black",US,Growth,2026-03-27,True,499
CUST-00204,Miller Ltd,US,Starter,2025-07-19,True,99
CUST-00205,Freeman-Chang,India,Starter,2026-04-24,True,99
CUST-00206,"Alvarez, Joseph and West",India,Enterprise,2025-05-20,True,2499
CUST-00207,Davis and Sons,US,Growth,2024-12-30,True,499
CUST-00208,Holt-Torres,India,Starter,2025-06-21,True,99
CUST-00209,"Wood, Tran and Cooper",India,Starter,2025-12-05,True,99
CUST-00210,"Pierce, Bell and Chavez",SEA,Growth,2025-11-12,True,499
CUST-00211,King-Martinez,US,Growth,2024-07-07,False,499
CUST-00212,Stewart Ltd,US,Enterprise,2026-04-05,True,2499
CUST-00213,"Tapia, Vaughn and Lee",India,Enterprise,2025-08-05,True,2499
CUST-00214,"Washington, Hardy and Bray",US,Growth,2025-04-01,False,499
CUST-00215,"Carlson, Hooper and Wall",India,Starter,2025-11-24,True,99
CUST-00216,Perez-White,India,Starter,2025-03-19,True,99
CUST-00217,Erickson and Sons,US,Growth,2024-12-16,True,499
CUST-00218,Williams-Brown,US,Starter,2026-03-16,False,99
CUST-00219,Terry-Martinez,US,Starter,2025-04-21,False,99
CUST-00220,Garcia-Smith,US,Starter,2024-06-27,True,99
CUST-00221,Harrison-Alexander,SEA,Starter,2025-05-16,False,99
CUST-00222,Sheppard LLC,India,Starter,2026-02-26,True,99
CUST-00223,Wilson-Jones,India,Starter,2024-10-18,False,99
CUST-00224,Jones-Soto,India,Growth,2024-11-05,True,499
CUST-00225,Hernandez PLC,India,Starter,2024-11-20,True,99
CUST-00226,Miller-Wright,US,Starter,2024-07-03,True,99
CUST-00227,"Duran, Obrien and Gibbs",India,Starter,2025-05-10,True,99
CUST-00228,Rowe Group,US,Growth,2024-11-17,True,499
CUST-00229,Kerr-Evans,US,Starter,2025-03-21,True,99
CUST-00230,"Branch, Torres and Oliver",US,Growth,2025-05-14,True,499
CUST-00231,"Choi, Garcia and Farmer",SEA,Enterprise,2025-06-24,True,2499
CUST-00232,"Clark, Guerrero and Moore",SEA,Starter,2024-12-01,True,99
CUST-00233,Arnold and Sons,SEA,Starter,2025-11-04,True,99
CUST-00234,Ortiz Ltd,India,Starter,2026-01-17,True,99
CUST-00235,"Harrison, Johnson and Roberts",US,Enterprise,2025-03-25,False,2499
CUST-00236,Warner-Gibson,India,Growth,2025-07-09,True,499
CUST-00237,"Hall, Baker and Moody",India,Enterprise,2025-06-12,True,2499
CUST-00238,"Guerrero, Peck and Coleman",US,Starter,2025-04-10,False,99
CUST-00239,"Walker, Hernandez and Baker",India,Enterprise,2025-04-24,True,2499
CUST-00240,Jones and Sons,US,Starter,2025-10-18,True,99
CUST-00241,Larson-Holloway,US,Starter,2026-01-13,True,99
CUST-00242,Gonzales-Harrison,US,Enterprise,2025-02-03,True,2499
CUST-00243,Lyons-Bender,India,Enterprise,2024-10-31,True,2499
CUST-00244,"Fernandez, Kim and George",India,Starter,2026-02-09,True,99
CUST-00245,Navarro-Munoz,US,Starter,2025-10-09,True,99
CUST-00246,Davis Ltd,SEA,Starter,2025-08-02,True,99
CUST-00247,"Matthews, Smith and Hubbard",US,Starter,2025-02-19,True,99
CUST-00248,Johnston-Hines,US,Starter,2026-03-07,True,99
CUST-00249,Ruiz Ltd,US,Enterprise,2024-08-13,True,2499
CUST-00250,Moon-White,India,Growth,2024-06-25,True,499
CUST-00251,"Graham, Olsen and Costa",India,Growth,2026-03-06,False,499
CUST-00252,Bailey-Cook,US,Growth,2025-02-10,True,499
CUST-00253,"Garcia, Martin and Jenkins",India,Growth,2026-05-08,False,499
CUST-00254,Roberts-Landry,India,Growth,2024-06-30,True,499
CUST-00255,"Johnson, Miller and King",SEA,Growth,2026-04-05,True,499
CUST-00256,Cordova Group,US,Starter,2025-12-27,True,99
CUST-00257,"Bryan, Smith and Booth",US,Growth,2024-07-21,True,499
CUST-00258,Gutierrez-Lopez,SEA,Growth,2024-12-09,False,499
CUST-00259,Dean-Jimenez,India,Growth,2026-04-19,True,499
CUST-00260,Wolf-Harris,US,Enterprise,2026-01-23,True,2499
CUST-00261,"Anderson, Roberts and Gilmore",US,Starter,2024-10-25,True,99
CUST-00262,Martinez-Dudley,India,Growth,2025-06-23,True,499
CUST-00263,"Lloyd, Mckinney and Collins",SEA,Starter,2024-11-28,True,99
CUST-00264,Tran Inc,US,Growth,2024-07-08,False,499
CUST-00265,Gay Inc,US,Starter,2024-12-10,True,99
CUST-00266,Valentine-Holland,US,Starter,2026-01-29,False,99
CUST-00267,Jimenez Ltd,US,Starter,2024-10-01,True,99
CUST-00268,Hicks-Hill,India,Growth,2025-02-18,True,499
CUST-00269,Baird-Sanchez,India,Starter,2026-02-09,True,99
CUST-00270,"Thomas, Lee and Greene",US,Enterprise,2025-08-04,True,2499
CUST-00271,"Suarez, Shields and Hill",US,Starter,2024-11-06,True,99
CUST-00272,Morgan-French,US,Enterprise,2025-12-27,True,2499
CUST-00273,Hoover-Campbell,US,Growth,2025-06-04,True,499
CUST-00274,Monroe-Carpenter,SEA,Starter,2025-02-15,True,99
CUST-00275,"Burns, Hernandez and Ryan",SEA,Starter,2026-04-26,True,99
CUST-00276,Cook-Hines,US,Growth,2025-12-15,True,499
CUST-00277,Gibson-Morris,US,Growth,2025-04-15,True,499
CUST-00278,Pollard and Sons,US,Growth,2024-12-01,True,499
CUST-00279,"Reyes, Chase and Jenkins",US,Starter,2026-01-26,True,99
CUST-00280,Garner-Thornton,US,Starter,2026-03-02,True,99
CUST-00281,Hughes-Alvarado,India,Enterprise,2025-03-03,True,2499
CUST-00282,"Pollard, Simpson and Johnson",India,Starter,2024-09-30,True,99
CUST-00283,"Sanford, Rivera and Garcia",India,Starter,2025-12-06,True,99
CUST-00284,Garcia-Lozano,SEA,Starter,2026-01-07,True,99
CUST-00285,Bowen Group,India,Growth,2024-12-19,True,499
CUST-00286,"Booker, Jones and Harrington",SEA,Growth,2026-02-25,True,499
CUST-00287,Morgan-Schwartz,SEA,Starter,2025-03-16,True,99
CUST-00288,"Miller, Murphy and Craig",India,Starter,2026-04-06,True,99
CUST-00289,"James, Stewart and Higgins",SEA,Starter,2025-05-10,True,99
CUST-00290,Brennan-Johnson,India,Starter,2024-08-25,True,99
CUST-00291,Young Ltd,India,Starter,2024-09-22,True,99
CUST-00292,Bright-Francis,US,Enterprise,2025-08-30,True,2499
CUST-00293,Good-Hodges,India,Starter,2025-07-28,True,99
CUST-00294,"Brennan, Wallace and Benson",India,Starter,2025-12-12,True,99
CUST-00295,Williams Inc,SEA,Enterprise,2026-01-29,True,2499
CUST-00296,Howard-Jordan,US,Starter,2024-10-19,True,99
CUST-00297,Schmidt PLC,India,Growth,2024-07-03,True,499
CUST-00298,"Sparks, Jackson and Miller",US,Starter,2024-12-29,True,99
CUST-00299,Harvey-Allen,India,Starter,2026-04-03,True,99
CUST-00300,"Thomas, Murray and King",India,Enterprise,2025-08-17,False,2499
CUST-00301,Estrada-Nolan,SEA,Growth,2024-06-26,True,499
CUST-00302,Santana-Byrd,SEA,Starter,2025-12-09,False,99
CUST-00303,Jones LLC,US,Growth,2026-04-09,True,499
CUST-00304,"Evans, Hayden and Vaughn",US,Enterprise,2025-05-23,True,2499
CUST-00305,Bruce-Gonzalez,US,Starter,2026-04-20,True,99
CUST-00306,Castaneda-Rodriguez,SEA,Growth,2026-03-26,True,499
CUST-00307,Armstrong-Andrews,India,Enterprise,2025-11-28,True,2499
CUST-00308,"Phillips, Spence and Barrett",US,Starter,2025-12-22,True,99
CUST-00309,Smith-Grimes,India,Growth,2026-01-04,True,499
CUST-00310,"Beltran, Lozano and Mcgee",SEA,Growth,2025-09-19,True,499
CUST-00311,Parsons-Hall,India,Growth,2025-03-06,True,499
CUST-00312,Robinson-Lee,India,Starter,2025-07-21,True,99
CUST-00313,Byrd-Le,US,Starter,2025-11-23,True,99
CUST-00314,"Becker, Taylor and Davis",US,Growth,2025-05-10,True,499
CUST-00315,"Lucas, Parker and Alexander",US,Starter,2024-10-09,True,99
CUST-00316,"Diaz, Anderson and Browning",SEA,Starter,2025-11-19,True,99
CUST-00317,Burgess-Thompson,India,Starter,2024-08-15,True,99
CUST-00318,Buchanan LLC,India,Starter,2025-09-03,True,99
CUST-00319,"Shaw, Nelson and Martin",India,Enterprise,2025-03-11,True,2499
CUST-00320,Coffey-Phillips,SEA,Starter,2024-11-26,True,99
CUST-00321,Brock-Mcdonald,US,Enterprise,2026-06-07,True,2499
CUST-00322,Taylor and Sons,US,Starter,2025-11-10,True,99
CUST-00323,"Ramsey, Whitney and Coffey",India,Growth,2025-11-22,True,499
CUST-00324,"Diaz, Gibbs and Smith",US,Starter,2026-05-04,True,99
CUST-00325,"Martinez, Richardson and Curry",US,Growth,2024-08-12,False,499
CUST-00326,Richards-Carson,SEA,Growth,2025-12-27,True,499
CUST-00327,Rodriguez-Hall,US,Starter,2024-09-11,True,99
CUST-00328,Harvey PLC,SEA,Enterprise,2024-09-04,True,2499
CUST-00329,Herman-Walker,India,Starter,2025-11-15,True,99
CUST-00330,Reid Group,India,Growth,2026-06-16,True,499
CUST-00331,"Turner, Ortiz and Taylor",US,Enterprise,2024-10-29,True,2499
CUST-00332,Torres Group,India,Enterprise,2025-07-19,True,2499
CUST-00333,Davis PLC,India,Enterprise,2026-02-05,True,2499
CUST-00334,Price LLC,India,Starter,2024-08-24,True,99
CUST-00335,"Avery, Horton and Fernandez",India,Starter,2025-06-21,True,99
CUST-00336,"Newton, Moore and Perry",US,Starter,2025-07-05,True,99
CUST-00337,Bass PLC,US,Growth,2026-03-03,True,499
CUST-00338,Crosby-Ramirez,SEA,Growth,2025-10-05,True,499
CUST-00339,"Wood, Ramos and Sampson",India,Starter,2024-07-17,True,99
CUST-00340,Garcia-Jennings,SEA,Growth,2026-03-14,True,499
CUST-00341,"Winters, Newman and Brown",SEA,Starter,2026-06-23,True,99
CUST-00342,Lopez-Martinez,India,Starter,2024-12-03,True,99
CUST-00343,Davis-Lewis,SEA,Growth,2025-11-01,True,499
CUST-00344,"Harper, Smith and Buchanan",India,Starter,2025-04-23,True,99
CUST-00345,Zhang PLC,US,Growth,2025-05-19,True,499
CUST-00346,Jones PLC,US,Starter,2025-04-18,False,99
CUST-00347,Willis and Sons,India,Growth,2025-04-25,True,499
CUST-00348,Schroeder-Kramer,India,Starter,2024-12-18,True,99
CUST-00349,"Smith, Garrison and Thomas",US,Starter,2025-04-24,True,99
CUST-00350,Fernandez and Sons,SEA,Growth,2025-11-11,True,499
CUST-00351,Guerrero Inc,US,Enterprise,2026-01-04,True,2499
CUST-00352,Smith and Sons,US,Starter,2026-06-22,True,99
CUST-00353,"Morris, Thompson and Williams",India,Starter,2025-10-15,True,99
CUST-00354,"Fisher, Wilson and Brown",India,Growth,2025-02-14,True,499
CUST-00355,Strickland-Palmer,US,Starter,2025-07-01,False,99
CUST-00356,Hayes and Sons,India,Growth,2024-11-07,True,499
CUST-00357,"Williams, Logan and Camacho",SEA,Growth,2025-07-22,True,499
CUST-00358,"Turner, Schneider and Johnson",US,Starter,2024-08-20,True,99
CUST-00359,Boone-Simmons,SEA,Starter,2025-11-10,True,99
CUST-00360,Henry Group,India,Growth,2025-01-01,True,499
CUST-00361,Lam LLC,US,Starter,2024-10-25,True,99
CUST-00362,"Hernandez, Martinez and Weber",SEA,Growth,2025-05-11,True,499
CUST-00363,"Kelley, Nguyen and Vang",SEA,Starter,2026-04-14,True,99
CUST-00364,"Phillips, Wagner and Jordan",US,Growth,2025-03-04,True,499
CUST-00365,"Wilson, Pena and Rich",India,Starter,2025-09-18,True,99
CUST-00366,"Le, Lewis and Hayes",US,Growth,2025-07-29,True,499
CUST-00367,Gutierrez Group,US,Starter,2025-01-27,True,99
CUST-00368,Perry-Davis,India,Starter,2025-03-12,True,99
CUST-00369,Edwards-Scott,India,Growth,2024-07-01,True,499
CUST-00370,Mcdaniel Group,India,Starter,2024-11-20,True,99
CUST-00371,Davis Inc,India,Starter,2024-11-27,True,99
CUST-00372,Reynolds Ltd,India,Starter,2025-12-07,True,99
CUST-00373,"Watson, Anderson and Brown",US,Starter,2025-07-10,True,99
CUST-00374,"Hoffman, Santiago and Jenkins",India,Enterprise,2025-10-11,False,2499
CUST-00375,"Pugh, Henderson and Moon",India,Growth,2024-08-01,True,499
CUST-00376,Schmitt PLC,US,Starter,2026-01-02,True,99
CUST-00377,Bell-Lane,India,Growth,2024-11-05,True,499
CUST-00378,Moore Group,US,Growth,2025-11-24,True,499
CUST-00379,Boone LLC,India,Enterprise,2025-11-21,True,2499
CUST-00380,"Richardson, Farmer and Andrews",India,Starter,2025-10-03,True,99
CUST-00381,Bruce-Villegas,US,Growth,2025-01-25,False,499
CUST-00382,"Austin, Day and Johnson",US,Growth,2024-07-17,True,499
CUST-00383,"Gallegos, Adams and White",US,Starter,2026-04-01,True,99
CUST-00384,"Farmer, Dorsey and Bell",US,Starter,2024-12-15,True,99
CUST-00385,Kane PLC,US,Starter,2025-07-10,True,99
CUST-00386,"Morales, Thomas and Schultz",India,Growth,2025-03-31,True,499
CUST-00387,Davis PLC,India,Starter,2024-12-10,False,99
CUST-00388,Bennett Group,US,Enterprise,2025-03-18,False,2499
