ticket_id,customer_id,created_date,category,priority,resolution_days
TKT-000057,CUST-09947,2026-01-24,Feature Request,Low,6
TKT-000058,CUST-00057,2025-11-08,Feature Request,Low,0
TKT-000059,CUST-08484,2026-03-25,Billing,Low,3
TKT-000060,CUST-06778,2025-10-29,Billing,Medium,0
TKT-000061,CUST-00110,2025-12-23,Billing,High,2
TKT-000062,CUST-06521,2025-10-13,Billing,Low,0
TKT-000063,CUST-09731,2025-10-19,Billing,Low,5
TKT-000064,CUST-11860,2025-09-09,Feature Request,Low,0
TKT-000065,CUST-10877,2026-03-19,Billing,Medium,0
TKT-000066,CUST-01583,2025-09-28,Billing,Low,3
TKT-000067,CUST-08404,2025-08-25,Feature Request,Low,1
TKT-000068,CUST-11939,2026-01-07,Billing,High,2
TKT-000069,CUST-01099,2026-03-31,Billing,Low,0
TKT-000070,CUST-11265,2026-02-15,Technical Bug,Low,11
TKT-000071,CUST-07343,2025-06-24,Onboarding,Low,2
TKT-000072,CUST-11422,2026-04-01,Billing,Medium,0
TKT-000073,CUST-06785,2025-12-29,Onboarding,High,2
TKT-000074,CUST-05086,2026-05-19,Technical Bug,Low,1
TKT-000075,CUST-06428,2025-11-23,Feature Request,Medium,5
TKT-000076,CUST-10895,2025-12-30,Onboarding,Low,1
TKT-000077,CUST-01413,2026-05-18,Technical Bug,Medium,1
TKT-000078,CUST-04571,2026-05-11,Technical Bug,Medium,1
TKT-000079,CUST-05492,2025-12-21,Billing,Medium,1
TKT-000080,CUST-00273,2025-07-18,Billing,Medium,0
TKT-000081,CUST-05305,2025-10-25,Feature Request,Low,2
TKT-000082,CUST-04945,2026-02-07,Feature Request,Low,2
TKT-000083,CUST-02964,2025-08-14,Onboarding,Low,1
TKT-000084,CUST-06027,2025-11-24,Feature Request,Medium,0
TKT-000085,CUST-10579,2025-07-26,Feature Request,High,2
TKT-000086,CUST-05713,2025-07-22,Feature Request,Low,0
TKT-000087,CUST-07283,2026-02-24,Billing,Medium,2
TKT-000088,CUST-03622,2025-09-24,Onboarding,Low,8
TKT-000089,CUST-04458,2025-06-30,Onboarding,High,1
TKT-000090,CUST-10547,2026-03-08,Billing,High,0
TKT-000091,CUST-03939,2025-09-30,Technical Bug,High,1
TKT-000092,CUST-09017,2026-05-01,Technical Bug,Medium,0
TKT-000093,CUST-00094,2026-03-24,Feature Request,High,3
TKT-000094,CUST-02986,2026-02-21,Onboarding,Medium,2
TKT-000095,CUST-05052,2026-02-27,Onboarding,Medium,0
TKT-000096,CUST-02676,2025-11-04,Billing,Low,1
TKT-000097,CUST-03344,2025-12-09,Onboarding,Medium,0
TKT-000098,CUST-10811,2026-02-25,Technical Bug,Medium,0
TKT-000099,CUST-05124,2026-01-28,Onboarding,Medium,0
TKT-000100,CUST-06346,2025-10-07,Billing,Medium,1
TKT-000101,CUST-04274,2025-09-27,Feature Request,Medium,0
TKT-000102,CUST-04861,2026-05-24,Feature Request,Low,3
TKT-000103,CUST-04516,2026-01-13,Billing,Low,8
TKT-000104,CUST-06039,2026-06-12,Feature Request,Medium,7
TKT-000105,CUST-06653,2025-11-12,Onboarding,Urgent,0
TKT-000106,CUST-02060,2025-07-20,Technical Bug,High,0
TKT-000107,CUST-05768,2025-10-09,Billing,Medium,1
TKT-000108,CUST-03547,2026-06-08,Onboarding,Medium,0
TKT-000109,CUST-02175,2026-02-20,Onboarding,Low,1
TKT-000110,CUST-10709,2025-11-14,Billing,Low,2
TKT-000111,CUST-02509,2025-07-10,Technical Bug,Low,1
TKT-000112,CUST-01191,2025-10-09,Billing,Low,3
TKT-000113,CUST-02803,2026-04-26,Feature Request,Medium,2
TKT-000114,CUST-10136,2026-02-23,Onboarding,Low,1
TKT-000115,CUST-02535,2026-05-18,Onboarding,Low,3
TKT-000116,CUST-09403,2026-04-27,Technical Bug,Low,1
TKT-000117,CUST-09812,2026-06-19,Technical Bug,Low,2
TKT-000118,CUST-07901,2025-08-09,Onboarding,Urgent,0
TKT-000119,CUST-02093,2026-03-18,Feature Request,Medium,1
TKT-000120,CUST-05279,2026-01-31,Feature Request,Low,1
TKT-000121,CUST-01900,2025-10-05,Feature Request,Low,0
TKT-000122,CUST-03210,2025-12-17,Billing,Low,0
TKT-000123,CUST-09750,2026-04-15,Onboarding,Medium,4
TKT-000124,CUST-01060,2025-09-06,Technical Bug,Low,0
TKT-000125,CUST-07560,2026-04-04,Billing,Low,0
TKT-000126,CUST-09966,2025-11-04,Feature Request,Low,2
TKT-000127,CUST-03047,2025-12-27,Technical Bug,Medium,0
TKT-000128,CUST-09034,2025-07-31,Onboarding,Low,5
TKT-000129,CUST-02703,2026-01-23,Billing,Low,4
TKT-000130,CUST-09068,2025-10-14,Billing,High,4
TKT-000131,CUST-02425,2026-04-21,Billing,Low,2
TKT-000132,CUST-03391,2025-08-29,Billing,Medium,1
TKT-000133,CUST-11977,2025-10-22,Billing,Low,4
TKT-000134,CUST-05606,2025-12-27,Billing,Medium,3
TKT-000135,CUST-03304,2025-07-14,Onboarding,Low,1
TKT-000136,CUST-09551,2025-08-10,Onboarding,Low,0
TKT-000137,CUST-08223,2026-06-17,Onboarding,Low,0
TKT-000138,CUST-08555,2026-06-01,Technical Bug,Low,1
TKT-000139,CUST-01732,2025-10-16,Feature Request,Medium,0
TKT-000140,CUST-04059,2025-08-25,Technical Bug,Medium,0
TKT-000141,CUST-06469,2026-03-19,Billing,Medium,0
TKT-000142,CUST-07069,2026-06-12,Technical Bug,High,0
TKT-000143,CUST-09311,2025-09-12,Onboarding,Low,0
TKT-000144,CUST-00906,2025-08-13,Technical Bug,High,1
TKT-000145,CUST-00143,2025-09-28,Feature Request,High,1
TKT-000146,CUST-00967,2025-09-14,Billing,Urgent,2
TKT-000147,CUST-06294,2025-07-13,Feature Request,Medium,0
TKT-000148,CUST-00072,2026-04-25,Billing,Medium,0
TKT-000149,CUST-03307,2026-05-16,Billing,Low,3
TKT-000150,CUST-08001,2026-05-14,Billing,Medium,3
TKT-000151,CUST-07697,2026-02-08,Technical Bug,Medium,0
TKT-000152,CUST-10151,2026-01-23,Feature Request,Low,3
TKT-000153,CUST-02398,2025-07-05,Onboarding,Low,2
TKT-000154,CUST-09935,2025-10-03,Onboarding,Low,1
TKT-000155,CUST-03365,2026-06-07,Technical Bug,Low,1
TKT-000156,CUST-00100,2026-02-14,Onboarding,Medium,6
TKT-000157,CUST-10392,2026-05-04,Billing,Medium,1
TKT-000158,CUST-00246,2025-12-01,Technical Bug,Low,1
TKT-000159,CUST-03297,2025-11-16,Feature Request,Low,4
TKT-000160,CUST-07078,2026-06-10,Billing,Urgent,1
TKT-000161,CUST-10390,2025-08-21,Billing,Medium,0
TKT-000162,CUST-01324,2026-03-07,Billing,Low,4
TKT-000163,CUST-02185,2026-02-12,Technical Bug,Low,0
TKT-000164,CUST-08584,2025-11-19,Billing,Medium,2
TKT-000165,CUST-10357,2025-09-12,Billing,Low,0
TKT-000166,CUST-10244,2026-04-28,Feature Request,Urgent,3
TKT-000167,CUST-09488,2025-07-06,Feature Request,Low,1
TKT-000168,CUST-07747,2026-06-18,Billing,Low,0
TKT-000169,CUST-01899,2025-11-10,Billing,Low,0
TKT-000170,CUST-01758,2026-03-01,Technical Bug,Medium,5
TKT-000171,CUST-02220,2025-08-22,Onboarding,Low,1
TKT-000172,CUST-05619,2026-01-12,Onboarding,Medium,0
TKT-000173,CUST-07598,2026-03-09,Technical Bug,High,0
TKT-000174,CUST-05371,2026-06-18,Technical Bug,Medium,0
TKT-000175,CUST-03768,2025-08-25,Technical Bug,Medium,1
TKT-000176,CUST-02392,2025-11-24,Billing,Medium,2
TKT-000177,CUST-04868,2026-05-09,Billing,Low,1
TKT-000178,CUST-09953,2025-08-25,Technical Bug,Low,0
TKT-000179,CUST-11963,2026-01-15,Onboarding,Medium,2
TKT-000180,CUST-08102,2026-04-21,Feature Request,Medium,0
TKT-000181,CUST-11682,2025-07-27,Technical Bug,Medium,0
TKT-000182,CUST-10912,2025-11-25,Feature Request,Medium,0
TKT-000183,CUST-01497,2025-11-15,Billing,Urgent,3
TKT-000184,CUST-03090,2026-06-10,Billing,Medium,1
TKT-000185,CUST-06341,2026-06-14,Feature Request,High,1
TKT-000186,CUST-07398,2025-11-15,Onboarding,Medium,0
TKT-000187,CUST-04475,2025-11-17,Onboarding,Medium,1
TKT-000188,CUST-08478,2025-12-29,Technical Bug,Medium,0
TKT-000189,CUST-01936,2025-07-13,Billing,Medium,6
TKT-000190,CUST-01872,2026-02-07,Onboarding,Medium,0
TKT-000191,CUST-09206,2025-12-25,Billing,Low,4
TKT-000192,CUST-11429,2025-08-27,Technical Bug,Medium,0
TKT-000193,CUST-01518,2025-12-11,Billing,Medium,1
TKT-000194,CUST-05743,2025-09-05,Technical Bug,Low,0
TKT-000195,CUST-11515,2025-07-01,Onboarding,Urgent,5
TKT-000196,CUST-10273,2026-06-11,Billing,Low,4
TKT-000197,CUST-02571,2026-04-23,Onboarding,Medium,0
TKT-000198,CUST-07671,2025-06-28,Feature Request,Low,1
TKT-000199,CUST-06399,2026-02-15,Onboarding,Medium,0
TKT-000200,CUST-04338,2025-07-28,Onboarding,Low,4
TKT-000201,CUST-07889,2026-06-09,Technical Bug,Medium,0
TKT-000202,CUST-05556,2025-11-09,Technical Bug,Low,0
TKT-000203,CUST-09781,2026-05-26,Technical Bug,Medium,0
TKT-000204,CUST-08408,2025-08-10,Feature Request,Medium,3
TKT-000205,CUST-07071,2025-12-11,Feature Request,Medium,0
TKT-000206,CUST-00048,2026-03-15,Onboarding,High,1
TKT-000207,CUST-05260,2025-09-30,Billing,Urgent,0
TKT-000208,CUST-08529,2025-12-17,Onboarding,Low,0
TKT-000209,CUST-00860,2026-03-15,Onboarding,Low,0
TKT-000210,CUST-10614,2025-07-14,Feature Request,Low,1
TKT-000211,CUST-06431,2025-06-28,Feature Request,Low,0
TKT-000212,CUST-01999,2025-07-28,Feature Request,Low,0
TKT-000213,CUST-06384,2026-04-25,Billing,Low,2
TKT-000214,CUST-04406,2025-10-18,Feature Request,Medium,0
TKT-000215,CUST-10410,2026-01-23,Feature Request,Low,0
TKT-000216,CUST-05844,2026-03-08,Technical Bug,High,1
TKT-000217,CUST-06225,2025-08-31,Feature Request,Medium,1
TKT-000218,CUST-06819,2026-01-12,Technical Bug,Low,5
TKT-000219,CUST-05745,2026-01-10,Feature Request,High,3
TKT-000220,CUST-02295,2026-06-04,Onboarding,High,0
TKT-000221,CUST-03656,2025-11-15,Feature Request,Low,1
TKT-000222,CUST-11773,2025-10-17,Onboarding,Medium,1
TKT-000223,CUST-11938,2025-07-30,Feature Request,Urgent,0
TKT-000224,CUST-02143,2026-05-06,Technical Bug,Medium,2
TKT-000225,CUST-03404,2026-06-19,Onboarding,Medium,1
TKT-000226,CUST-07303,2026-01-15,Billing,Low,2
TKT-000227,CUST-07067,2026-06-03,Onboarding,Low,8
TKT-000228,CUST-03669,2025-07-06,Billing,Low,2
TKT-000229,CUST-07549,2026-02-11,Billing,Urgent,0
TKT-000230,CUST-05761,2025-07-09,Technical Bug,Medium,0
TKT-000231,CUST-05185,2025-07-17,Billing,Medium,0
TKT-000232,CUST-08182,2025-09-12,Onboarding,Low,3
TKT-000233,CUST-09191,2026-01-30,Onboarding,Low,0
TKT-000234,CUST-02131,2026-06-21,Onboarding,High,2
TKT-000235,CUST-07001,2025-11-05,Technical Bug,Low,0
TKT-000236,CUST-06382,2025-07-20,Feature Request,Medium,1
TKT-000237,CUST-00083,2026-03-07,Feature Request,Low,2
TKT-000238,CUST-02283,2025-11-17,Feature Request,Low,1
TKT-000239,CUST-02358,2026-03-05,Onboarding,Low,0
TKT-000240,CUST-01774,2025-10-28,Feature Request,Medium,2
TKT-000241,CUST-03984,2026-06-24,Feature Request,Low,2
TKT-000242,CUST-09521,2026-04-19,Billing,Medium,8
TKT-000243,CUST-07548,2026-03-17,Billing,Medium,2
TKT-000244,CUST-05608,2025-06-29,Billing,Low,1
TKT-000245,CUST-09388,2025-12-15,Billing,Medium,5
TKT-000246,CUST-03850,2025-09-04,Onboarding,Medium,1
TKT-000247,CUST-05707,2025-10-02,Technical Bug,Medium,2
TKT-000248,CUST-07922,2025-09-06,Technical Bug,High,0
TKT-000249,CUST-09306,2025-08-23,Technical Bug,Medium,4
TKT-000250,CUST-01105,2026-03-05,Onboarding,Low,0
TKT-000251,CUST-05745,2025-08-24,Billing,Low,0
TKT-000252,CUST-08737,2025-08-09,Billing,Medium,2
TKT-000253,CUST-10975,2025-10-26,Technical Bug,Medium,1
TKT-000254,CUST-06849,2026-01-05,Billing,High,0
TKT-000255,CUST-10462,2025-07-04,Onboarding,Low,3
TKT-000256,CUST-08580,2025-10-16,Technical Bug,Medium,0
TKT-000257,CUST-10054,2026-01-10,Feature Request,Medium,2
TKT-000258,CUST-02525,2026-05-31,Billing,High,1
TKT-000259,CUST-08010,2026-03-06,Technical Bug,Low,2
TKT-000260,CUST-08648,2026-05-22,Feature Request,Medium,1
TKT-000261,CUST-04748,2025-08-14,Technical Bug,Low,1
TKT-000262,CUST-07306,2026-04-23,Technical Bug,High,1
TKT-000263,CUST-08522,2026-04-18,Feature Request,Low,1
TKT-000264,CUST-09541,2025-10-23,Technical Bug,Medium,6
TKT-000265,CUST-01579,2026-02-11,Onboarding,Low,4
TKT-000266,CUST-00032,2025-12-19,Billing,Urgent,4
TKT-000267,CUST-04046,2025-08-06,Technical Bug,Low,4
TKT-000268,CUST-05204,2025-08-24,Feature Request,Urgent,1
TKT-000269,CUST-07827,2025-11-27,Billing,Low,0
TKT-000270,CUST-10749,2026-04-11,Technical Bug,Low,4
TKT-000271,CUST-09661,2025-11-29,Technical Bug,High,1
TKT-000272,CUST-09795,2025-12-28,Billing,High,1
TKT-000273,CUST-06957,2026-03-03,Feature Request,Medium,0
TKT-000274,CUST-02096,2025-10-30,Onboarding,High,1
TKT-000275,CUST-08361,2025-06-28,Onboarding,Low,3
TKT-000276,CUST-04557,2025-07-03,Onboarding,Low,0
TKT-000277,CUST-08095,2025-10-31,Feature Request,Medium,5
TKT-000278,CUST-08549,2025-08-19,Feature Request,Low,0
TKT-000279,CUST-04413,2025-07-30,Onboarding,Low,0
TKT-000280,CUST-03842,2026-03-19,Onboarding,Low,1
TKT-000281,CUST-01019,2025-07-19,Onboarding,Medium,1
TKT-000282,CUST-00412,2026-01-12,Onboarding,Low,7
TKT-000283,CUST-06771,2026-04-10,Feature Request,Medium,1
TKT-000284,CUST-02764,2025-09-15,Feature Request,Medium,0
TKT-000285,CUST-11386,2025-09-25,Onboarding,High,0
TKT-000286,CUST-04164,2025-10-26,Feature Request,Medium,3
TKT-000287,CUST-00227,2026-03-13,Billing,Medium,1
TKT-000288,CUST-06535,2026-06-20,Billing,High,9
TKT-000289,CUST-08177,2026-05-07,Billing,Medium,0
TKT-000290,CUST-07039,2026-05-02,Billing,Low,5
TKT-000291,CUST-11152,2025-08-07,Onboarding,Medium,2
TKT-000292,CUST-00518,2026-06-23,Billing,Medium,0
TKT-000293,CUST-04874,2026-01-10,Billing,Low,2
TKT-000294,CUST-04115,2026-02-20,Feature Request,High,0
TKT-000295,CUST-10644,2025-08-13,Technical Bug,Medium,4
TKT-000296,CUST-03851,2026-02-22,Onboarding,Low,1
TKT-000297,CUST-03736,2026-02-02,Billing,Medium,2
TKT-000298,CUST-02063,2026-05-04,Billing,Low,0
TKT-000299,CUST-00720,2026-02-24,Feature Request,Low,1
TKT-000300,CUST-08127,2026-03-26,Onboarding,Medium,0
TKT-000301,CUST-11146,2026-05-22,Feature Request,Medium,0
TKT-000302,CUST-00690,2026-05-23,Billing,Low,1
TKT-000303,CUST-02629,2025-12-27,Onboarding,Medium,0
TKT-000304,CUST-08543,2025-08-19,Billing,High,2
TKT-000305,CUST-07630,2026-05-17,Onboarding,Medium,6
TKT-000306,CUST-04717,2025-11-25,Technical Bug,Low,1
TKT-000307,CUST-09862,2025-07-03,Onboarding,Low,0
TKT-000308,CUST-00463,2026-06-09,Technical Bug,High,2
TKT-000309,CUST-06253,2025-12-19,Billing,Low,0
TKT-000310,CUST-09259,2026-01-11,Onboarding,Low,0
TKT-000311,CUST-02847,2025-11-25,Feature Request,Low,2
TKT-000312,CUST-00703,2025-11-17,Feature Request,Low,0
TKT-000313,CUST-06254,2026-06-23,Billing,Low,6
TKT-000314,CUST-07126,2026-04-26,Billing,Low,0
TKT-000315,CUST-03503,2026-04-07,Billing,Low,2
TKT-000316,CUST-03984,2026-01-23,Technical Bug,Medium,0
TKT-000317,CUST-04354,2026-06-23,Feature Request,High,1
TKT-000318,CUST-07661,2026-04-21,Onboarding,Low,0
TKT-000319,CUST-02155,2026-04-29,Onboarding,Low,0
TKT-000320,CUST-06485,2025-11-11,Billing,Low,3
TKT-000321,CUST-00107,2026-01-03,Technical Bug,Low,2
TKT-000322,CUST-04118,2025-10-20,Billing,Medium,8
TKT-000323,CUST-05745,2025-11-21,Onboarding,Low,5
TKT-000324,CUST-11705,2025-10-02,Technical Bug,Low,0
TKT-000325,CUST-11533,2026-02-02,Billing,Medium,7
TKT-000326,CUST-00034,2026-06-04,Billing,Urgent,0
TKT-000327,CUST-01392,2026-02-26,Feature Request,Medium,1
TKT-000328,CUST-11245,2025-07-20,Onboarding,Medium,1
TKT-000329,CUST-07515,2025-12-06,Technical Bug,High,3
TKT-000330,CUST-00301,2026-04-26,Technical Bug,Low,5
TKT-000331,CUST-04103,2025-12-13,Feature Request,High,1
TKT-000332,CUST-10246,2026-05-23,Onboarding,Medium,2
TKT-000333,CUST-04198,2025-06-24,Onboarding,Low,1
TKT-000334,CUST-08665,2026-02-05,Technical Bug,Low,1
TKT-000335,CUST-11574,2025-07-12,Onboarding,High,0
TKT-000336,CUST-04061,2026-04-25,Feature Request,Medium,2
TKT-000337,CUST-09856,2026-03-01,Technical Bug,Low,3
TKT-000338,CUST-01069,2026-03-09,Billing,Low,1
TKT-000339,CUST-01671,2026-05-11,Onboarding,High,2
TKT-000340,CUST-03657,2025-11-14,Technical Bug,Low,1
TKT-000341,CUST-08180,2026-05-06,Feature Request,Medium,2
TKT-000342,CUST-03807,2026-04-14,Feature Request,Medium,2
TKT-000343,CUST-00508,2025-10-09,Feature Request,Low,1
TKT-000344,CUST-08629,2025-07-25,Feature Request,High,2
TKT-000345,CUST-02093,2025-11-22,Feature Request,High,1
TKT-000346,CUST-01373,2026-03-20,Onboarding,Low,1
TKT-000347,CUST-10163,2025-07-25,Onboarding,Low,4
TKT-000348,CUST-11578,2026-02-22,Feature Request,Medium,1
TKT-000349,CUST-02781,2026-02-08,Onboarding,High,3
TKT-000350,CUST-04231,2025-06-25,Billing,Low,2
TKT-000351,CUST-06674,2025-09-05,Feature Request,Medium,0
TKT-000352,CUST-11663,2026-01-27,Onboarding,Low,1
TKT-000353,CUST-05382,2026-03-26,Billing,Low,3
TKT-000354,CUST-10864,2026-03-04,Feature Request,Low,0
TKT-000355,CUST-07759,2026-05-11,Technical Bug,Medium,3
TKT-000356,CUST-07368,2026-04-29,Billing,Low,0
TKT-000357,CUST-01912,2026-04-24,Billing,Medium,4
TKT-000358,CUST-00891,2026-03-24,Feature Request,Low,0
TKT-000359,CUST-10484,2026-03-29,Technical Bug,Low,1
TKT-000360,CUST-02803,2025-08-23,Billing,Low,1
TKT-000361,CUST-00864,2025-07-17,Onboarding,Medium,1
TKT-000362,CUST-07611,2026-04-30,Onboarding,High,0
TKT-000363,CUST-07321,2026-03-23,Billing,Low,0
TKT-000364,CUST-08312,2025-11-19,Billing,High,2
TKT-000365,CUST-01460,2025-07-09,Feature Request,High,4
TKT-000366,CUST-05262,2026-05-23,Onboarding,Low,0
TKT-000367,CUST-03353,2026-02-14,Feature Request,Low,2
TKT-000368,CUST-06645,2025-12-07,Billing,Medium,0
TKT-000369,CUST-00131,2025-07-16,Onboarding,Medium,1
TKT-000370,CUST-08220,2025-06-28,Onboarding,Urgent,6
TKT-000371,CUST-08776,2025-08-05,Billing,Low,0
TKT-000372,CUST-01747,2025-10-31,Technical Bug,Medium,2
TKT-000373,CUST-01303,2026-01-24,Technical Bug,Low,7
TKT-000374,CUST-02172,2026-02-10,Billing,Low,0
TKT-000375,CUST-08775,2025-12-04,Technical Bug,Medium,1
TKT-000376,CUST-07260,2026-03-27,Onboarding,High,0
TKT-000377,CUST-04399,2026-02-11,Feature Request,Low,1
TKT-000378,CUST-11583,2026-05-07,Billing,Medium,6
TKT-000379,CUST-06419,2026-04-06,Feature Request,Medium,1
TKT-000380,CUST-04485,2026-02-08,Onboarding,Medium,1
TKT-000381,CUST-04170,2026-03-23,Technical Bug,Urgent,3
TKT-000382,CUST-07441,2025-10-25,Technical Bug,Low,1
TKT-000383,CUST-09425,2026-01-20,Billing,Low,1
TKT-000384,CUST-03631,2025-11-15,Billing,Low,0
TKT-000385,CUST-01024,2025-12-27,Billing,Medium,1
TKT-000386,CUST-00570,2025-06-30,Technical Bug,Medium,0
TKT-000387,CUST-09941,2025-06-28,Onboarding,Urgent,2
TKT-000388,CUST-10666,2025-08-22,Billing,High,0
TKT-000389,CUST-02844,2025-09-23,Billing,Low,0
TKT-000390,CUST-05735,2026-01-31,Billing,Medium,1
TKT-000391,CUST-09998,2025-06-28,Feature Request,Low,0
TKT-000392,CUST-07646,2025-08-25,Billing,Low,1
TKT-000393,CUST-07015,2025-12-20,Technical Bug,Medium,2
TKT-000394,CUST-05759,2026-05-18,Onboarding,Low,8
TKT-000395,CUST-03864,2025-08-09,Billing,Medium,1
TKT-000396,CUST-08698,2025-12-31,Technical Bug,High,0
TKT-000397,CUST-09091,2026-03-19,Billing,Urgent,3
TKT-000398,CUST-06457,2025-12-12,Feature Request,Medium,4
TKT-000399,CUST-02268,2025-11-06,Billing,High,3
TKT-000400,CUST-00341,2025-06-26,Billing,Low,1
TKT-000401,CUST-07566,2025-12-11,Technical Bug,Low,2
TKT-000402,CUST-00625,2025-08-11,Technical Bug,High,0
TKT-000403,CUST-04730,2025-12-31,Billing,Low,0
TKT-000404,CUST-03374,2025-08-21,Billing,Low,1
TKT-000405,CUST-04528,2026-01-18,Onboarding,Medium,0
TKT-000406,CUST-09538,2025-11-15,Onboarding,Medium,0
TKT-000407,CUST-06973,2025-09-01,Billing,Low,4
TKT-000408,CUST-04670,2026-06-15,Technical Bug,Low,4
TKT-000409,CUST-01626,2025-11-22,Technical Bug,Low,1
TKT-000410,CUST-11629,2026-01-12,Billing,Low,0
TKT-000411,CUST-11214,2025-10-10,Feature Request,Low,0
TKT-000412,CUST-02928,2025-11-15,Feature Request,Medium,2
TKT-000413,CUST-04032,2025-07-17,Onboarding,Medium,1
TKT-000414,CUST-05864,2026-02-10,Billing,Medium,2
TKT-000415,CUST-06930,2025-10-24,Onboarding,High,0
TKT-000416,CUST-03281,2026-02-02,Technical Bug,Medium,1
TKT-000417,CUST-00163,2025-10-08,Feature Request,High,1
TKT-000418,CUST-06490,2026-04-10,Billing,High,1
TKT-000419,CUST-09698,2026-02-02,Feature Request,Low,1
TKT-000420,CUST-02736,2026-06-03,Technical Bug,Low,0
TKT-000421,CUST-00541,2025-11-06,Feature Request,Medium,0
TKT-000422,CUST-10378,2025-11-01,Feature Request,Medium,0
TKT-000423,CUST-11157,2025-06-30,Onboarding,Low,2
TKT-000424,CUST-10798,2025-12-27,Onboarding,High,0
TKT-000425,CUST-01051,2025-12-21,Billing,Urgent,2
TKT-000426,CUST-09375,2026-01-19,Feature Request,Low,0
TKT-000427,CUST-02137,2025-10-06,Feature Request,Low,4
TKT-000428,CUST-00549,2026-06-21,Feature Request,Low,2
TKT-000429,CUST-06053,2025-06-25,Onboarding,High,3
TKT-000430,CUST-08806,2026-06-09,Feature Request,Medium,1
TKT-000431,CUST-03984,2025-08-21,Technical Bug,Medium,1
TKT-000432,CUST-10988,2025-11-26,Onboarding,Low,0
TKT-000433,CUST-00794,2025-11-08,Technical Bug,Medium,0
TKT-000434,CUST-10391,2025-12-03,Feature Request,Medium,3
TKT-000435,CUST-01796,2025-10-26,Feature Request,Low,2
